timestamp,symbol,mid,spread,spread_bps,microprice,microprice_slope,bid_depth_5,ask_depth_5,imbalance_5,delta_3s,delta_10s,sell_hit_count_3s,buy_lift_count_3s,trade_velocity_3s,bid_replenishment_rate,price_progress_bps,absorption_score,exhaustion_score,trigger_score,vwap_1m,vwap_3m,realized_volatility,time_of_day,last_price,sell_volume_10s,buy_volume_5s
2026-06-07T05:01:52.913626+00:00,NVDA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:52.913626,None,0,0
2026-06-07T05:01:52.913626+00:00,TSLA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:52.913626,None,0,0
2026-06-07T05:01:52.913626+00:00,AMD,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:52.913626,None,0,0
2026-06-07T05:01:52.913626+00:00,TQQQ,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:52.913626,None,0,0
2026-06-07T05:01:54.059914+00:00,NVDA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:54.059914,None,0,0
2026-06-07T05:01:54.059914+00:00,TSLA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:54.059914,None,0,0
2026-06-07T05:01:54.059914+00:00,AMD,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:54.059914,None,0,0
2026-06-07T05:01:54.059914+00:00,TQQQ,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:54.059914,None,0,0
2026-06-07T05:01:55.076277+00:00,NVDA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:55.076277,None,0,0
2026-06-07T05:01:55.076277+00:00,TSLA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:55.076277,None,0,0
2026-06-07T05:01:55.076277+00:00,AMD,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:55.076277,None,0,0
2026-06-07T05:01:55.076277+00:00,TQQQ,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:55.076277,None,0,0
2026-06-07T05:01:56.186013+00:00,NVDA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:56.186013,None,0,0
2026-06-07T05:01:56.186013+00:00,TSLA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:56.186013,None,0,0
2026-06-07T05:01:56.186013+00:00,AMD,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:56.186013,None,0,0
2026-06-07T05:01:56.186013+00:00,TQQQ,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:56.186013,None,0,0
2026-06-07T05:01:57.197376+00:00,NVDA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:57.197376,None,0,0
2026-06-07T05:01:57.197376+00:00,TSLA,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:57.197376,None,0,0
2026-06-07T05:01:57.197376+00:00,AMD,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:57.197376,None,0,0
2026-06-07T05:01:57.197376+00:00,TQQQ,None,None,inf,None,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.44999999999999996,0.55,0.0,None,None,0.0,01:01:57.197376,None,0,0
